text,label
also I was the point person on my company's transition from the KL-5 to GR-6 system,7
You must've had your hands full,7
That I did That I did,7
So let's talk a little bit about your duties,7
My duties  All right,5
also I was the point person on my company's transition from the KL-5 to GR-6 system,7
You must've had your hands full,7
That I did That I did,7
So let's talk a little bit about your duties,7
My duties  All right,5
Now you'll be heading a whole division   so you'll have a lot of duties,7
I see,7
also I was the point person on my company's transition from the KL-5 to GR-6 system,7
You must've had your hands full,7
That I did That I did,7
So let's talk a little bit about your duties,7
My duties  All right,5
Now you'll be heading a whole division   so you'll have a lot of duties,7
I see,7
But there'll be perhaps 30 people under you so you can dump a certain amount on them,7
Good to know,7
We can go into detail,7
No don't I beg of you,4
also I was the point person on my company's transition from the KL-5 to GR-6 system,7
You must've had your hands full,7
That I did That I did,7
So let's talk a little bit about your duties,7
My duties  All right,5
Now you'll be heading a whole division   so you'll have a lot of duties,7
I see,7
But there'll be perhaps 30 people under you so you can dump a certain amount on them,7
Good to know,7
We can go into detail,7
No don't I beg of you,4
All right then   we'll have a definite answer for you on Monday   but I think I can say with some confidence   you'll fit in well here,7
Really,5
But then who The waitress I went out with last month,5
You know Forget it,0
No-no-no-no   no Who   who were you talking about,5
No   I-I-I-I don't   I actually don't know,4
But then who The waitress I went out with last month,5
You know Forget it,0
No-no-no-no   no Who   who were you talking about,5
No   I-I-I-I don't   I actually don't know,4
Ok,7
But then who The waitress I went out with last month,5
You know Forget it,0
No-no-no-no   no Who   who were you talking about,5
No   I-I-I-I don't   I actually don't know,4
Ok,7
All right   well,7
Yeah   sure,7
Hey   Mon,7
Hey-hey-hey You wanna hear something that sucks,7
Do I ever,1
Hey   Mon,7
Hey-hey-hey You wanna hear something that sucks,7
Do I ever,1
Chris says they're closing down the bar,0
Hey   Mon,7
Hey-hey-hey You wanna hear something that sucks,7
Do I ever,1
Chris says they're closing down the bar,0
No way,5
Hey   Mon,7
Hey-hey-hey You wanna hear something that sucks,7
Do I ever,1
Chris says they're closing down the bar,0
No way,5
Yeah   apparently they're turning it into some kinda coffee place,7
