text,label
Or Or  we could go to the bank  close our accounts and cut them off at the source ,7
Youre a genius ,1
Aww  man  now we wont be bank buddies ,0
Now  theres two reasons ,7
Or Or  we could go to the bank  close our accounts and cut them off at the source ,7
Youre a genius ,1
Aww  man  now we wont be bank buddies ,0
Now  theres two reasons ,7
Hey ,7
Hey ,1
Ohh  you guys  remember that cute client I told you about I bit him ,7
Where ,5
On the touchy ,7
And ,7
No  I know ,5
Or Or  we could go to the bank  close our accounts and cut them off at the source ,7
Youre a genius ,1
Aww  man  now we wont be bank buddies ,0
Now  theres two reasons ,7
Hey ,7
Hey ,1
Ohh  you guys  remember that cute client I told you about I bit him ,7
Where ,5
On the touchy ,7
And ,7
No  I know ,5
I-Im sorry  but the moment I touch him  I just wanna throw out my old oath and take a new  dirty one ,3
Or Or  we could go to the bank  close our accounts and cut them off at the source ,7
Youre a genius ,1
Aww  man  now we wont be bank buddies ,0
Now  theres two reasons ,7
Hey ,7
Hey ,1
Ohh  you guys  remember that cute client I told you about I bit him ,7
Where ,5
On the touchy ,7
And ,7
No  I know ,5
I-Im sorry  but the moment I touch him  I just wanna throw out my old oath and take a new  dirty one ,3
Well  next time your massaging him  you should try and distract yourself ,7
Yeah Yeah Yeah Like-like when Im doing something exciting and I dont wanna get ,1
Or Or  we could go to the bank  close our accounts and cut them off at the source ,7
Youre a genius ,1
Aww  man  now we wont be bank buddies ,0
Now  theres two reasons ,7
Hey ,7
Hey ,1
Ohh  you guys  remember that cute client I told you about I bit him ,7
Where ,5
On the touchy ,7
And ,7
No  I know ,5
I-Im sorry  but the moment I touch him  I just wanna throw out my old oath and take a new  dirty one ,3
Well  next time your massaging him  you should try and distract yourself ,7
Yeah Yeah Yeah Like-like when Im doing something exciting and I dont wanna get ,1
Thank you  Joey ,7
No-no  thank you ,7
Hey Estelle  listen ,7
Well Well Well Joey Tribbiani So you came back huh They ,5
What are you talkin about I never left you Youve always been my agent ,5
Hey Estelle  listen ,7
Well Well Well Joey Tribbiani So you came back huh They ,5
What are you talkin about I never left you Youve always been my agent ,5
Really ,5
Yeah ,1
Hey Estelle  listen ,7
Well Well Well Joey Tribbiani So you came back huh They ,5
What are you talkin about I never left you Youve always been my agent ,5
Really ,5
Yeah ,1
Oh well  no harm  no foul ,7
Yes Yes How can I help you ,7
Yeah  we werewe were just looking around ,7
Oh-oh  youre-youre fellow scholars ,5
Yes Yes How can I help you ,7
Yeah  we werewe were just looking around ,7
Oh-oh  youre-youre fellow scholars ,5
What exactly were you looking for  hmm ,7
Yes Yes How can I help you ,7
Yeah  we werewe were just looking around ,7
Oh-oh  youre-youre fellow scholars ,5
What exactly were you looking for  hmm ,7
Perhaps   perhaps Dr Chester Stocks musings on the Smiledon Californicus ,7
Uhh ,7
Ah AhGet out of here  Uh  meeting someone Or-or are you just here to brush up on Marions views on evolution ,3
Yes Yes How can I help you ,7
Yeah  we werewe were just looking around ,7
Oh-oh  youre-youre fellow scholars ,5
What exactly were you looking for  hmm ,7
Perhaps   perhaps Dr Chester Stocks musings on the Smiledon Californicus ,7
Uhh ,7
Ah AhGet out of here  Uh  meeting someone Or-or are you just here to brush up on Marions views on evolution ,3
Uh  actually I find Marions views far too progressionist ,7
I find Marions views far too progressionist ,7
Yes Yes How can I help you ,7
Yeah  we werewe were just looking around ,7
Oh-oh  youre-youre fellow scholars ,5
What exactly were you looking for  hmm ,7
Perhaps   perhaps Dr Chester Stocks musings on the Smiledon Californicus ,7
Uhh ,7
Ah AhGet out of here  Uh  meeting someone Or-or are you just here to brush up on Marions views on evolution ,3
Uh  actually I find Marions views far too progressionist ,7
I find Marions views far too progressionist ,7
Im sorry  who are you ,5
Yes Yes How can I help you ,7
Yeah  we werewe were just looking around ,7
Oh-oh  youre-youre fellow scholars ,5
What exactly were you looking for  hmm ,7
Perhaps   perhaps Dr Chester Stocks musings on the Smiledon Californicus ,7
Uhh ,7
Ah AhGet out of here  Uh  meeting someone Or-or are you just here to brush up on Marions views on evolution ,3
Uh  actually I find Marions views far too progressionist ,7
I find Marions views far too progressionist ,7
Im sorry  who are you ,5
Im a professor here uh  RossGeller ,7
Ross Geller  why do I know that name Its uhWait  Did you write this ,5
Yes Youre the person who checked out my book ,5
Yes Yes How can I help you ,7
Yeah  we werewe were just looking around ,7
Oh-oh  youre-youre fellow scholars ,5
What exactly were you looking for  hmm ,7
Perhaps   perhaps Dr Chester Stocks musings on the Smiledon Californicus ,7
Uhh ,7
Ah AhGet out of here  Uh  meeting someone Or-or are you just here to brush up on Marions views on evolution ,3
Uh  actually I find Marions views far too progressionist ,7
I find Marions views far too progressionist ,7
Im sorry  who are you ,5
Im a professor here uh  RossGeller ,7
Ross Geller  why do I know that name Its uhWait  Did you write this ,5
Yes Youre the person who checked out my book ,5
Yknow  you look nothing like I wouldve thought Youreyoure so young ,5
Well I uh  I skipped forth grade ,7
You had no right to tell me you ever had feelings for me ,3
What ,5
I was doing great with Julie before I found out about you ,3
Hey  I was doin' great before I found out about you You think it's easy for me to see you with Julie ,3
Oh  it's so romantic to send people off on their honeymoon ,1
Yknow  Monica and Chandler are married Ross and Rachel are having a baby Maybe you and I should do something ,7
All in good time my love ,7
Oh  it's so romantic to send people off on their honeymoon ,1
Yknow  Monica and Chandler are married Ross and Rachel are having a baby Maybe you and I should do something ,7
All in good time my love ,7
All in good time ,7
Oh shoot ,5
Oh  it's so romantic to send people off on their honeymoon ,1
Yknow  Monica and Chandler are married Ross and Rachel are having a baby Maybe you and I should do something ,7
All in good time my love ,7
All in good time ,7
Oh shoot ,5
I left my guitar in their apartment ,0
Oh  it's so romantic to send people off on their honeymoon ,1
Yknow  Monica and Chandler are married Ross and Rachel are having a baby Maybe you and I should do something ,7
All in good time my love ,7
All in good time ,7
Oh shoot ,5
I left my guitar in their apartment ,0
Well you can let me in later ,7
Oh  it's so romantic to send people off on their honeymoon ,1
Yknow  Monica and Chandler are married Ross and Rachel are having a baby Maybe you and I should do something ,7
All in good time my love ,7
All in good time ,7
Oh shoot ,5
I left my guitar in their apartment ,0
Well you can let me in later ,7
I dont have a key  they took mine to give to you ,7
What They took mine to give to you ,5
Oh  it's so romantic to send people off on their honeymoon ,1
Yknow  Monica and Chandler are married Ross and Rachel are having a baby Maybe you and I should do something ,7
All in good time my love ,7
All in good time ,7
Oh shoot ,5
I left my guitar in their apartment ,0
Well you can let me in later ,7
I dont have a key  they took mine to give to you ,7
What They took mine to give to you ,5
Why would they take away our keys ,5
Wow It looks like we got a lot of good stuff ,1
Oh we did  but my mom got us the greatest gift of all ,1
A ,7
Wow It looks like we got a lot of good stuff ,1
Oh we did  but my mom got us the greatest gift of all ,1
A ,7
No Shes going to live with us for eight weeks ,7
Wow It looks like we got a lot of good stuff ,1
Oh we did  but my mom got us the greatest gift of all ,1
A ,7
No Shes going to live with us for eight weeks ,7
Uh  what ,5
Wow It looks like we got a lot of good stuff ,1
Oh we did  but my mom got us the greatest gift of all ,1
A ,7
No Shes going to live with us for eight weeks ,7
Uh  what ,5
Yes Shes gonna help us take care of the baby Woo-hoo ,1
Wow It looks like we got a lot of good stuff ,1
Oh we did  but my mom got us the greatest gift of all ,1
A ,7
No Shes going to live with us for eight weeks ,7
Uh  what ,5
Yes Shes gonna help us take care of the baby Woo-hoo ,1
WhatYoure not serious ,5
I mean shes a very nice woman  but there is no way we can take eight weeks of her ,3
Wow It looks like we got a lot of good stuff ,1
Oh we did  but my mom got us the greatest gift of all ,1
A ,7
No Shes going to live with us for eight weeks ,7
Uh  what ,5
Yes Shes gonna help us take care of the baby Woo-hoo ,1
WhatYoure not serious ,5
I mean shes a very nice woman  but there is no way we can take eight weeks of her ,3
Shell drive us totally crazy ,6
Wow It looks like we got a lot of good stuff ,1
Oh we did  but my mom got us the greatest gift of all ,1
A ,7
No Shes going to live with us for eight weeks ,7
Uh  what ,5
Yes Shes gonna help us take care of the baby Woo-hoo ,1
WhatYoure not serious ,5
I mean shes a very nice woman  but there is no way we can take eight weeks of her ,3
Shell drive us totally crazy ,6
Hi Ross ,1
Hi roomie ,1
Hey What did you decide to do about the movie ,7
I dont know ,7
Its not like its porn ,7
